"('', 'First Factor')","('', 'Second Factor')","('RF', 'Effect Size')","('RF', '% Change')","('RF', 'p')","('RF', 'CI')","('Retuned RF', 'Effect Size')","('Retuned RF', '% Change')","('Retuned RF', 'p')","('Retuned RF', 'CI')","('DT', 'Effect Size')","('DT', '% Change')","('DT', 'p')","('DT', 'CI')","('GBR', 'Effect Size')","('GBR', '% Change')","('GBR', 'p')","('GBR', 'CI')","('RF Retest', 'Effect Size')","('RF Retest', '% Change')","('RF Retest', 'p')","('RF Retest', 'CI')"
0%,25%,6.461930161119969e-05,6.774006339207482e-06,0.9554044595540446,"[-0.003, 0.001]",0.0003919685016564,3.269293740693441e-05,0.6478352164783522,"[-0.002, 0.002]",0.0760263112349928,0.0073297654146679,0.00999900009999,"[0.030, 0.098]",-0.0012454148662945,-0.0001868972316921,0.9163083691630836,"[-0.010, 0.017]",-0.0016119877929581,-0.0002044103148327,0.518048195180482,"[-0.006, 0.004]"
0%,50%,-0.0013480512226569,-0.0001424106017625,0.2097790220977902,"[-0.003, 0.001]",-0.0070417410318028,-0.0006233163763232,9.999000099990002e-05,"[-0.009, -0.005]",0.020838699100999,0.009472135954569,0.1034896510348965,"[0.015, 0.022]",-0.0353854841624059,-0.0118077416492936,9.999000099990002e-05,"[-0.044, -0.030]",-0.001108950308005,-0.0001336634912219,0.5736426357364264,"[-0.004, 0.004]"
0%,75%,0.0014989109790165,0.0001468283166088,0.172982701729827,"[-0.001, 0.005]",-0.0021921424376759,-0.0001815950487074,0.0138986101389861,"[-0.005, -0.000]",0.0,0.0,1.0,"[0.000, 0.000]",-0.0049420047819634,-0.0007069567941905,0.3512648735126487,"[-0.011, 0.007]",0.0054855669462642,0.0006853073750861,0.0122987701229877,"[-0.001, 0.010]"
0%,100%,0.0146720540958021,0.0014148421278094,9.999000099990002e-05,"[0.010, 0.019]",0.0080974701771684,0.0006413500044938,9.999000099990002e-05,"[0.006, 0.011]",0.0,0.0,1.0,"[0.000, 0.000]",0.0297649939441664,0.0030025867754689,9.999000099990002e-05,"[0.017, 0.042]",0.0112176311326023,0.0012082818753617,9.999000099990002e-05,"[0.009, 0.016]"
25%,50%,-7.706089380774689e-05,-8.140854052925984e-06,0.8495150484951505,"[-0.002, 0.001]",-0.0067753347669311,-0.0005997347951631,9.999000099990002e-05,"[-0.010, -0.005]",-0.0855174404457249,-0.0388715638371989,9.999000099990002e-05,"[-0.091, -0.076]",-0.0311225799545846,-0.0103852580305696,9.999000099990002e-05,"[-0.044, -0.027]",0.0021810227922591,0.0002628820414617,0.0055994400559944,"[0.001, 0.004]"
25%,75%,0.0035019585979248,0.0003430401758111,0.0005999400059994,"[0.001, 0.005]",-0.0037187136872015,-0.0003080547967824,0.0564943505649435,"[-0.007, 0.001]",-0.0691839202840727,-691839202.8407273,9.999000099990002e-05,"[-0.079, 0.000]",0.006007293557271,0.000859347002356,0.3983601639836016,"[-0.007, 0.014]",0.0031307179533308,0.0003911180236699,0.0004999500049995,"[0.001, 0.006]"
25%,100%,0.0124456641389322,0.0012001489237533,9.999000099990002e-05,"[0.009, 0.016]",0.0073939575851417,0.0005856291689507,9.999000099990002e-05,"[0.007, 0.008]",-0.0981495457622364,-981495457.622364,9.999000099990002e-05,"[-0.100, -0.096]",0.0434743234891497,0.0043855352037309,9.999000099990002e-05,"[0.032, 0.048]",0.0126957528929128,0.0013674944320458,9.999000099990002e-05,"[0.008, 0.015]"
50%,75%,0.0025763255422602,0.0002523682511516,0.0002999700029997,"[0.001, 0.005]",0.0036902637742003,0.0003056980323457,0.0063993600639936,"[0.001, 0.007]",-0.018820161491204,-188201614.91204,0.3261673832616738,"[-0.022, 0.071]",0.0391147340863205,0.0055953865354806,9.999000099990002e-05,"[0.027, 0.043]",0.0011652409443136,0.0001455725945399,0.197980201979802,"[-0.001, 0.004]"
50%,100%,0.0113180688288456,0.0010914136820882,9.999000099990002e-05,"[0.010, 0.015]",0.0147383779522393,0.0011673348044619,9.999000099990002e-05,"[0.011, 0.016]",-0.022,-220000000.0,9.999000099990002e-05,"[-0.022, -0.010]",0.0690535814900646,0.0069658798174044,9.999000099990002e-05,"[0.062, 0.077]",0.0108281377463244,0.0011663284723972,9.999000099990002e-05,"[0.008, 0.014]"
75%,100%,0.0074007352594087,0.0007136609470906,9.999000099990002e-05,"[0.004, 0.014]",0.0095925878539068,0.000759768931358,9.999000099990002e-05,"[0.006, 0.014]",0.0,0.0,1.0,"[0.000, 0.000]",0.0358326836506459,0.0036146737426122,9.999000099990002e-05,"[0.027, 0.040]",0.0076173317786387,0.0008204837383176,9.999000099990002e-05,"[0.005, 0.011]"
