circuit_index,noisy_counts,ideal_counts
2000,"{""001"": 754, ""111"": 31, ""000"": 129, ""100"": 16, ""010"": 15, ""110"": 12, ""101"": 34, ""011"": 9}","{""001"": 863, ""000"": 137}"
2001,"{""11101"": 2, ""10100"": 35, ""00000"": 249, ""11100"": 7, ""00011"": 40, ""00111"": 41, ""01101"": 19, ""00100"": 233, ""00010"": 35, ""00101"": 40, ""00001"": 32, ""11001"": 11, ""01100"": 31, ""01001"": 17, ""00110"": 41, ""10000"": 38, ""11000"": 8, ""01110"": 11, ""01000"": 37, ""10101"": 10, ""10001"": 8, ""10010"": 7, ""10110"": 8, ""01111"": 6, ""11110"": 5, ""01011"": 5, ""11111"": 2, ""01010"": 4, ""11011"": 5, ""10011"": 5, ""11010"": 4, ""10111"": 4}","{""00000"": 457, ""00100"": 457, ""00111"": 46, ""00011"": 40}"
2002,"{""011"": 290, ""111"": 594, ""000"": 6, ""010"": 18, ""100"": 12, ""101"": 41, ""001"": 22, ""110"": 17}","{""111"": 711, ""011"": 250, ""101"": 29, ""001"": 10}"
2003,"{""000"": 204, ""011"": 426, ""001"": 15, ""101"": 130, ""010"": 21, ""100"": 11, ""110"": 184, ""111"": 9}","{""011"": 414, ""000"": 226, ""110"": 233, ""101"": 123, ""001"": 3, ""100"": 1}"
2004,"{""0100"": 125, ""1101"": 50, ""1100"": 60, ""1010"": 40, ""0000"": 94, ""1000"": 123, ""0010"": 120, ""1011"": 154, ""0110"": 21, ""0001"": 80, ""1111"": 37, ""1001"": 24, ""1110"": 9, ""0111"": 26, ""0011"": 34, ""0101"": 3}","{""0100"": 105, ""0010"": 137, ""1011"": 160, ""0011"": 31, ""1110"": 12, ""0000"": 110, ""1000"": 146, ""0001"": 85, ""1101"": 47, ""1100"": 58, ""1001"": 18, ""0110"": 12, ""0111"": 24, ""1111"": 20, ""1010"": 34, ""0101"": 1}"
2005,"{""000"": 898, ""001"": 34, ""010"": 21, ""100"": 22, ""110"": 9, ""111"": 2, ""011"": 8, ""101"": 6}","{""000"": 1000}"
2006,"{""00011"": 38, ""00101"": 42, ""00000"": 269, ""10000"": 15, ""00001"": 362, ""01001"": 23, ""01111"": 9, ""00111"": 12, ""01100"": 12, ""10111"": 8, ""00100"": 25, ""00010"": 38, ""01101"": 6, ""10011"": 12, ""01000"": 20, ""00110"": 18, ""01011"": 18, ""10101"": 12, ""10001"": 31, ""01010"": 7, ""10010"": 8, ""10100"": 4, ""11001"": 1, ""11101"": 2, ""11000"": 3, ""11100"": 2, ""01110"": 1, ""10110"": 1, ""11011"": 1}","{""00000"": 393, ""00001"": 607}"
2007,"{""00"": 135, ""01"": 709, ""11"": 133, ""10"": 23}","{""01"": 670, ""11"": 163, ""00"": 134, ""10"": 33}"
2008,"{""01111"": 5, ""00110"": 15, ""00001"": 23, ""10000"": 4, ""10101"": 11, ""01100"": 181, ""00101"": 164, ""01011"": 4, ""11100"": 20, ""01101"": 180, ""00100"": 177, ""00010"": 6, ""11101"": 18, ""11011"": 4, ""10100"": 15, ""01000"": 18, ""01001"": 30, ""11111"": 14, ""00000"": 22, ""10110"": 11, ""10111"": 11, ""11110"": 4, ""11000"": 4, ""01010"": 10, ""11001"": 5, ""10011"": 4, ""01110"": 14, ""00011"": 5, ""10010"": 5, ""00111"": 7, ""10001"": 6, ""11010"": 3}","{""00101"": 234, ""01100"": 223, ""01101"": 250, ""00100"": 234, ""00001"": 15, ""01001"": 13, ""01000"": 14, ""00000"": 17}"
2009,"{""01000"": 158, ""00000"": 492, ""10010"": 8, ""01100"": 8, ""00011"": 18, ""00001"": 69, ""10000"": 33, ""01010"": 22, ""01001"": 30, ""10001"": 4, ""00010"": 39, ""01110"": 6, ""00100"": 19, ""10111"": 8, ""00110"": 18, ""00101"": 9, ""11110"": 3, ""11001"": 2, ""11000"": 15, ""00111"": 8, ""01111"": 3, ""01101"": 5, ""10110"": 6, ""10011"": 3, ""01011"": 6, ""11111"": 2, ""11010"": 3, ""10101"": 2, ""10100"": 1}","{""01000"": 225, ""00000"": 775}"
2010,"{""110"": 17, ""101"": 475, ""100"": 317, ""001"": 69, ""000"": 94, ""011"": 7, ""111"": 20, ""010"": 1}","{""101"": 503, ""100"": 330, ""000"": 79, ""001"": 74, ""110"": 8, ""111"": 5, ""011"": 1}"
2011,"{""00011"": 24, ""10010"": 290, ""00010"": 296, ""10001"": 11, ""00000"": 121, ""11010"": 17, ""00001"": 5, ""10000"": 131, ""11011"": 18, ""00101"": 4, ""11101"": 1, ""01010"": 19, ""11111"": 2, ""00110"": 3, ""10110"": 9, ""10011"": 14, ""10100"": 3, ""01111"": 2, ""10111"": 1, ""01000"": 3, ""01011"": 7, ""10101"": 4, ""11000"": 5, ""11001"": 2, ""00111"": 1, ""11100"": 2, ""11110"": 2, ""01110"": 2, ""00100"": 1}","{""00000"": 162, ""00010"": 346, ""10000"": 150, ""10010"": 342}"
2012,"{""010"": 388, ""100"": 435, ""110"": 95, ""000"": 74, ""101"": 1, ""001"": 2, ""011"": 5}","{""000"": 62, ""100"": 447, ""010"": 422, ""110"": 65, ""101"": 2, ""011"": 2}"
