circuit_index,noisy_counts,ideal_counts
1660,"{""101"": 446, ""111"": 480, ""011"": 19, ""001"": 18, ""010"": 3, ""000"": 5, ""110"": 14, ""100"": 15}","{""101"": 519, ""111"": 468, ""110"": 6, ""100"": 7}"
3685,"{""0011"": 119, ""1010"": 76, ""0000"": 315, ""1000"": 176, ""1011"": 93, ""0010"": 100, ""1001"": 17, ""0110"": 15, ""1110"": 10, ""1100"": 8, ""1111"": 9, ""0111"": 13, ""0001"": 27, ""0101"": 8, ""1101"": 5, ""0100"": 9}","{""0010"": 119, ""1011"": 114, ""1000"": 279, ""0000"": 253, ""1010"": 133, ""0011"": 102}"
3859,"{""0100"": 378, ""0110"": 449, ""0010"": 23, ""1110"": 21, ""1100"": 34, ""0111"": 2, ""0101"": 23, ""1101"": 21, ""0000"": 20, ""0001"": 7, ""1011"": 6, ""1001"": 3, ""0011"": 2, ""1000"": 3, ""1010"": 6, ""1111"": 2}","{""0100"": 383, ""0110"": 617}"
3348,"{""000"": 418, ""010"": 31, ""011"": 163, ""100"": 177, ""111"": 184, ""110"": 16, ""001"": 8, ""101"": 3}","{""000"": 400, ""100"": 191, ""011"": 176, ""111"": 210, ""110"": 9, ""010"": 14}"
3520,"{""1010"": 303, ""1011"": 306, ""1110"": 123, ""0011"": 24, ""1000"": 13, ""0110"": 18, ""0111"": 7, ""1111"": 129, ""1100"": 7, ""0010"": 19, ""0001"": 12, ""0101"": 8, ""1001"": 13, ""0100"": 7, ""0000"": 4, ""1101"": 7}","{""1011"": 287, ""1010"": 326, ""1111"": 185, ""1110"": 202}"
1654,"{""01000"": 429, ""11000"": 351, ""11110"": 8, ""11100"": 19, ""00000"": 41, ""01100"": 29, ""00001"": 1, ""10010"": 16, ""10000"": 18, ""00010"": 5, ""01001"": 17, ""00100"": 9, ""11011"": 3, ""00101"": 3, ""01010"": 6, ""10110"": 6, ""01110"": 4, ""10100"": 7, ""10001"": 4, ""01101"": 2, ""11101"": 2, ""11001"": 9, ""11010"": 5, ""10011"": 1, ""10101"": 2, ""00110"": 3}","{""11000"": 415, ""01000"": 585}"
644,"{""1110"": 3, ""0011"": 8, ""0000"": 438, ""0100"": 458, ""0010"": 17, ""0111"": 10, ""0001"": 21, ""1100"": 4, ""0110"": 12, ""1010"": 5, ""0101"": 13, ""1000"": 7, ""1001"": 2, ""1111"": 1, ""1011"": 1}","{""0000"": 518, ""0100"": 482}"
1193,"{""00000"": 367, ""10000"": 14, ""00010"": 473, ""10011"": 10, ""00110"": 8, ""01000"": 17, ""00100"": 8, ""00011"": 17, ""01110"": 4, ""11010"": 3, ""00001"": 6, ""11000"": 3, ""01010"": 14, ""10010"": 14, ""00111"": 2, ""10111"": 2, ""10100"": 8, ""01011"": 4, ""10110"": 4, ""11111"": 2, ""01001"": 2, ""01100"": 1, ""00101"": 3, ""10001"": 5, ""11101"": 1, ""11001"": 4, ""10101"": 3, ""01111"": 1}","{""00000"": 469, ""00010"": 531}"
2469,"{""0101"": 114, ""1011"": 7, ""0000"": 418, ""0010"": 266, ""0001"": 19, ""1001"": 5, ""0111"": 70, ""1000"": 14, ""0100"": 27, ""1110"": 10, ""1101"": 8, ""0011"": 19, ""0110"": 10, ""1100"": 6, ""1010"": 6, ""1111"": 1}","{""0000"": 399, ""0010"": 395, ""0111"": 98, ""0101"": 108}"
1184,"{""00"": 965, ""10"": 10, ""01"": 12, ""11"": 13}","{""00"": 1000}"
