result_type,metric,value,p_value,algorithm,first_factor,second_factor,median,percentage_change,ci_lower,ci_upper
permutation_test,rmse,2.114068866901277,9.999000099990002e-05,RF,,,,,,
pairwise,rmse,,0.6568220826321649,RF,0%,25%,,,,
pairwise,rmse,,0.5935333607772619,RF,0%,50%,,,,
pairwise,rmse,,0.0034791525721958134,RF,0%,75%,,,,
pairwise,rmse,,2.6957414847796685e-10,RF,0%,100%,,,,
pairwise,rmse,,0.8516171420672318,RF,25%,50%,,,,
pairwise,rmse,,8.581716121275688e-05,RF,25%,75%,,,,
pairwise,rmse,,0.0005262736194547461,RF,50%,75%,,,,
pairwise,rmse,,3.4747262612246324e-11,RF,100%,25%,,,,
pairwise,rmse,,1.6634122328460257e-11,RF,100%,50%,,,,
pairwise,rmse,,1.616456711672195e-07,RF,100%,75%,,,,
pairwise_median,rmse,6.461930161119969e-05,0.9554044595540446,RF,0%,25%,6.461930161119969e-05,6.774006339207482e-06,-0.002530099797377002,0.0014141607229294015
pairwise_median,rmse,-0.0013480512226569027,0.20977902209779023,RF,0%,50%,-0.0013480512226569027,-0.00014241060176251207,-0.003499380534291399,0.0010226324773593021
pairwise_median,rmse,0.0014989109790165545,0.17298270172982702,RF,0%,75%,0.0014989109790165545,0.0001468283166088311,-0.0007434363321051005,0.004949020944399002
pairwise_median,rmse,0.014672054095802196,9.999000099990002e-05,RF,0%,100%,0.014672054095802196,0.0014148421278094205,0.009826342360257048,0.01867141521391881
pairwise_median,rmse,-7.706089380774689e-05,0.8495150484951505,RF,25%,50%,-7.706089380774689e-05,-8.140854052925984e-06,-0.002361095086144554,0.0006733401626502974
pairwise_median,rmse,0.003501958597924848,0.0005999400059994001,RF,25%,75%,0.003501958597924848,0.0003430401758111674,0.0013720088375352019,0.005091457834327101
pairwise_median,rmse,0.012445664138932243,9.999000099990002e-05,RF,25%,100%,0.012445664138932243,0.0012001489237533744,0.00912616804229631,0.0157061809918711
pairwise_median,rmse,0.002576325542260248,0.00029997000299970003,RF,50%,75%,0.002576325542260248,0.00025236825115164385,0.0006811717044993976,0.004622236045338804
pairwise_median,rmse,0.011318068828845645,9.999000099990002e-05,RF,50%,100%,0.011318068828845645,0.001091413682088249,0.009828369672505,0.014638768242126593
pairwise_median,rmse,0.0074007352594087986,9.999000099990002e-05,RF,75%,100%,0.0074007352594087986,0.0007136609470906978,0.003570038704490505,0.014400866974730087
permutation_test,rmse,2.134422414736951,9.999000099990002e-05,RFRetuned,,,,,,
pairwise,rmse,,0.2159229988993272,RFRetuned,0%,25%,,,,
pairwise,rmse,,3.3383463346137084e-06,RFRetuned,0%,50%,,,,
pairwise,rmse,,0.006273434083805012,RFRetuned,0%,75%,,,,
pairwise,rmse,,2.6911719784458377e-10,RFRetuned,0%,100%,,,,
pairwise,rmse,,3.3383463346137084e-06,RFRetuned,25%,50%,,,,
pairwise,rmse,,0.004759936182072731,RFRetuned,25%,75%,,,,
pairwise,rmse,,0.008389542276164444,RFRetuned,50%,75%,,,,
pairwise,rmse,,8.903918793066585e-12,RFRetuned,100%,25%,,,,
pairwise,rmse,,3.1415253057106824e-11,RFRetuned,100%,50%,,,,
pairwise,rmse,,4.983633739311882e-11,RFRetuned,100%,75%,,,,
pairwise_median,rmse,0.0003919685016564589,0.6478352164783522,RFRetuned,0%,25%,0.0003919685016564589,3.269293740693441e-05,-0.0021344246700869102,0.0022451560553447478
