circuit_index,noisy_counts,ideal_counts
3500,"{""0100"": 25, ""1101"": 16, ""1110"": 434, ""0000"": 26, ""1000"": 251, ""1010"": 49, ""1111"": 23, ""0110"": 59, ""0001"": 5, ""1100"": 58, ""1011"": 11, ""1001"": 16, ""0010"": 7, ""0011"": 7, ""0101"": 6, ""0111"": 7}","{""0000"": 3, ""1000"": 363, ""1110"": 626, ""0110"": 8}"
3501,"{""00"": 203, ""01"": 192, ""11"": 319, ""10"": 286}","{""11"": 305, ""00"": 188, ""01"": 216, ""10"": 291}"
3502,"{""00100"": 29, ""01101"": 141, ""01100"": 85, ""01111"": 104, ""10111"": 3, ""11100"": 9, ""00010"": 14, ""01011"": 97, ""00000"": 21, ""10011"": 3, ""10101"": 9, ""11000"": 6, ""01001"": 151, ""01110"": 76, ""01000"": 89, ""00001"": 22, ""00101"": 23, ""01010"": 54, ""11001"": 7, ""10100"": 1, ""00011"": 7, ""11010"": 8, ""00111"": 5, ""11110"": 5, ""10010"": 2, ""00110"": 7, ""11111"": 3, ""11011"": 10, ""10000"": 1, ""11101"": 5, ""10001"": 3}","{""01000"": 126, ""00100"": 16, ""01101"": 158, ""01001"": 177, ""01111"": 113, ""01011"": 115, ""01110"": 77, ""01100"": 113, ""00010"": 6, ""01010"": 45, ""00001"": 11, ""00110"": 7, ""00000"": 23, ""00111"": 3, ""00101"": 6, ""00011"": 4}"
3503,"{""10"": 603, ""11"": 149, ""00"": 228, ""01"": 20}","{""10"": 603, ""00"": 238, ""11"": 148, ""01"": 11}"
3504,"{""01"": 85, ""10"": 559, ""00"": 287, ""11"": 69}","{""11"": 74, ""10"": 588, ""00"": 262, ""01"": 76}"
3505,"{""10000"": 223, ""10100"": 39, ""01100"": 7, ""10010"": 17, ""00110"": 30, ""10001"": 38, ""00000"": 322, ""00010"": 37, ""01011"": 4, ""00001"": 32, ""00101"": 7, ""11000"": 38, ""11001"": 37, ""01001"": 29, ""01000"": 22, ""10011"": 9, ""10110"": 14, ""11111"": 7, ""11010"": 5, ""00100"": 29, ""11101"": 5, ""11100"": 8, ""01010"": 6, ""11011"": 6, ""01101"": 2, ""10111"": 7, ""00111"": 2, ""10101"": 2, ""01111"": 4, ""00011"": 5, ""11110"": 5, ""01110"": 2}","{""10000"": 403, ""00000"": 597}"
3506,"{""01001"": 30, ""00001"": 134, ""00101"": 179, ""00111"": 85, ""11111"": 19, ""10001"": 28, ""00000"": 36, ""00100"": 48, ""00011"": 67, ""10111"": 28, ""01101"": 50, ""10010"": 7, ""10100"": 13, ""10101"": 47, ""11001"": 13, ""11101"": 16, ""00110"": 25, ""01011"": 20, ""11100"": 8, ""01111"": 18, ""00010"": 20, ""10011"": 21, ""11110"": 6, ""10110"": 12, ""01000"": 13, ""11010"": 7, ""11000"": 7, ""01110"": 5, ""01010"": 11, ""11011"": 10, ""10000"": 6, ""01100"": 11}","{""00001"": 170, ""10001"": 32, ""00101"": 272, ""10101"": 37, ""00100"": 67, ""10111"": 20, ""00011"": 65, ""00111"": 123, ""00000"": 33, ""11100"": 2, ""01110"": 6, ""10010"": 1, ""01101"": 48, ""10011"": 11, ""01011"": 10, ""00010"": 14, ""10110"": 2, ""01111"": 17, ""01001"": 17, ""11101"": 9, ""00110"": 17, ""11110"": 1, ""01000"": 5, ""10100"": 6, ""01010"": 3, ""10000"": 5, ""01100"": 5, ""11001"": 1, ""11111"": 1}"
3507,"{""01"": 313, ""00"": 395, ""11"": 254, ""10"": 38}","{""00"": 397, ""11"": 240, ""01"": 338, ""10"": 25}"
3508,"{""10"": 137, ""11"": 340, ""01"": 356, ""00"": 167}","{""00"": 151, ""01"": 332, ""10"": 143, ""11"": 374}"
3509,"{""00"": 495, ""01"": 499, ""10"": 3, ""11"": 3}","{""01"": 472, ""00"": 528}"
3510,"{""1100"": 141, ""1001"": 158, ""0001"": 282, ""0101"": 282, ""0111"": 12, ""1011"": 13, ""1111"": 4, ""0000"": 19, ""0100"": 17, ""1101"": 15, ""1110"": 12, ""1000"": 19, ""0010"": 2, ""0110"": 7, ""0011"": 10, ""1010"": 7}","{""1100"": 169, ""1001"": 140, ""0001"": 335, ""1110"": 4, ""0101"": 346, ""1011"": 5, ""0111"": 1}"
