circuit_index,noisy_counts,ideal_counts
61,"{""011"": 972, ""001"": 22, ""010"": 6}","{""011"": 986, ""001"": 14}"
2112,"{""110"": 221, ""101"": 200, ""000"": 156, ""111"": 56, ""011"": 222, ""100"": 100, ""010"": 25, ""001"": 20}","{""101"": 191, ""010"": 34, ""000"": 94, ""110"": 238, ""100"": 83, ""011"": 249, ""111"": 75, ""001"": 36}"
2711,"{""01111"": 9, ""00011"": 702, ""01011"": 53, ""11111"": 3, ""10000"": 4, ""10011"": 20, ""00000"": 35, ""00010"": 20, ""01001"": 6, ""00001"": 76, ""10110"": 2, ""01000"": 11, ""10001"": 6, ""11100"": 4, ""00111"": 15, ""11110"": 4, ""00101"": 6, ""11010"": 2, ""01100"": 1, ""10100"": 3, ""01101"": 2, ""01110"": 2, ""01010"": 2, ""10010"": 2, ""00110"": 3, ""11000"": 1, ""11011"": 5, ""10111"": 1}","{""00011"": 1000}"
614,"{""0010"": 275, ""0110"": 227, ""0000"": 237, ""0100"": 244, ""1100"": 3, ""1010"": 2, ""1000"": 2, ""1011"": 3, ""0001"": 2, ""1110"": 1, ""0111"": 2, ""0101"": 2}","{""0000"": 256, ""0010"": 255, ""0100"": 250, ""0110"": 239}"
2860,"{""0010"": 461, ""0000"": 356, ""1100"": 14, ""1011"": 7, ""0100"": 16, ""0001"": 30, ""1010"": 10, ""1101"": 12, ""0101"": 5, ""0110"": 21, ""0011"": 36, ""1001"": 7, ""0111"": 5, ""1000"": 10, ""1110"": 5, ""1111"": 5}","{""0000"": 438, ""0010"": 439, ""0001"": 62, ""0011"": 61}"
3851,"{""01000"": 362, ""01001"": 245, ""01010"": 27, ""11011"": 3, ""00000"": 49, ""01100"": 23, ""00101"": 18, ""00001"": 54, ""01101"": 23, ""00100"": 7, ""11101"": 4, ""10000"": 13, ""10010"": 5, ""11001"": 26, ""01011"": 19, ""00010"": 6, ""11000"": 17, ""11111"": 9, ""01110"": 7, ""00111"": 4, ""00011"": 12, ""11100"": 16, ""10100"": 8, ""10011"": 5, ""00110"": 5, ""10001"": 6, ""11010"": 4, ""10101"": 5, ""11110"": 2, ""10110"": 4, ""01111"": 11, ""10111"": 1}","{""00001"": 38, ""01001"": 461, ""00000"": 42, ""01000"": 459}"
243,"{""1000"": 458, ""0000"": 478, ""1010"": 6, ""0100"": 20, ""1001"": 14, ""1100"": 11, ""0001"": 6, ""0010"": 2, ""0101"": 2, ""1101"": 2, ""0011"": 1}","{""1000"": 485, ""0000"": 515}"
3253,"{""000"": 410, ""010"": 149, ""101"": 117, ""110"": 79, ""001"": 51, ""100"": 131, ""111"": 46, ""011"": 17}","{""001"": 56, ""101"": 123, ""010"": 139, ""000"": 418, ""100"": 134, ""110"": 57, ""111"": 47, ""011"": 26}"
2641,"{""10"": 523, ""00"": 218, ""11"": 58, ""01"": 201}","{""01"": 215, ""10"": 526, ""00"": 196, ""11"": 63}"
2629,"{""00001"": 517, ""00011"": 31, ""00010"": 16, ""00000"": 214, ""00101"": 38, ""01000"": 11, ""01001"": 22, ""10010"": 18, ""01011"": 14, ""10001"": 28, ""10011"": 25, ""11011"": 4, ""01101"": 3, ""10000"": 13, ""00100"": 12, ""11000"": 2, ""11111"": 2, ""11001"": 8, ""01111"": 2, ""01100"": 2, ""11101"": 1, ""10111"": 1, ""01010"": 7, ""10101"": 2, ""10100"": 3, ""00111"": 3, ""11110"": 1}","{""01010"": 4, ""00001"": 599, ""01000"": 5, ""00000"": 252, ""00101"": 41, ""10011"": 37, ""01011"": 13, ""00100"": 13, ""10010"": 11, ""00011"": 11, ""00111"": 2, ""00010"": 2, ""11001"": 2, ""01001"": 5, ""10111"": 1, ""11101"": 1, ""11000"": 1}"
2864,"{""110"": 339, ""011"": 72, ""001"": 165, ""010"": 247, ""000"": 18, ""101"": 91, ""100"": 46, ""111"": 22}","{""111"": 32, ""110"": 336, ""000"": 24, ""100"": 30, ""010"": 229, ""011"": 59, ""001"": 190, ""101"": 100}"
3665,"{""000"": 546, ""001"": 348, ""010"": 13, ""110"": 20, ""111"": 19, ""100"": 28, ""011"": 20, ""101"": 6}","{""001"": 465, ""000"": 535}"
3797,"{""010"": 25, ""000"": 865, ""100"": 29, ""110"": 20, ""111"": 11, ""001"": 27, ""011"": 9, ""101"": 14}","{""000"": 1000}"
1072,"{""00000"": 847, ""00100"": 27, ""00001"": 11, ""01100"": 6, ""10000"": 21, ""00110"": 8, ""00010"": 20, ""10010"": 1, ""01101"": 2, ""00101"": 3, ""01001"": 8, ""10001"": 3, ""01000"": 22, ""10100"": 1, ""11101"": 2, ""11100"": 4, ""11000"": 6, ""01010"": 1, ""11001"": 4, ""10101"": 1, ""01110"": 2}","{""00000"": 992, ""00010"": 8}"
3501,"{""01"": 249, ""00"": 218, ""10"": 298, ""11"": 235}","{""10"": 295, ""01"": 195, ""11"": 321, ""00"": 189}"
3055,"{""10"": 249, ""11"": 373, ""01"": 212, ""00"": 166}","{""11"": 393, ""01"": 152, ""10"": 296, ""00"": 159}"
2328,"{""1011"": 327, ""0001"": 340, ""1000"": 8, ""0011"": 107, ""1001"": 143, ""0110"": 5, ""1010"": 15, ""0010"": 8, ""1101"": 9, ""1110"": 7, ""1111"": 6, ""0111"": 2, ""0101"": 6, ""0000"": 14, ""1100"": 2, ""0100"": 1}","{""1011"": 342, ""1001"": 145, ""0001"": 381, ""0011"": 127, ""0101"": 1, ""1101"": 3, ""1111"": 1}"
3694,"{""10"": 318, ""00"": 520, ""01"": 124, ""11"": 38}","{""00"": 549, ""01"": 130, ""10"": 306, ""11"": 15}"
815,"{""00000"": 877, ""00011"": 6, ""01000"": 28, ""00111"": 6, ""10011"": 1, ""00100"": 13, ""00101"": 19, ""00010"": 13, ""10101"": 5, ""01011"": 1, ""11000"": 1, ""10010"": 1, ""10100"": 2, ""00001"": 18, ""01100"": 2, ""01111"": 1, ""01010"": 5, ""10000"": 1}","{""00000"": 1000}"
798,"{""00000"": 902, ""00001"": 28, ""01000"": 27, ""10000"": 21, ""01001"": 3, ""11000"": 8, ""00010"": 4, ""00110"": 1, ""00100"": 2, ""11001"": 1, ""10001"": 3}","{""00000"": 1000}"
820,"{""00010"": 896, ""00001"": 5, ""01010"": 10, ""00110"": 19, ""10010"": 7, ""11010"": 2, ""00100"": 2, ""10110"": 7, ""01110"": 6, ""00011"": 16, ""00000"": 18, ""10011"": 2, ""01011"": 1, ""01111"": 1, ""10111"": 1, ""10100"": 1, ""01000"": 1, ""00111"": 3, ""00101"": 1, ""01101"": 1}","{""00010"": 1000}"
2652,"{""0011"": 13, ""0000"": 437, ""0010"": 376, ""1110"": 45, ""1100"": 50, ""0001"": 15, ""1111"": 4, ""1000"": 14, ""0101"": 2, ""0110"": 9, ""0100"": 20, ""1010"": 4, ""0111"": 6, ""1101"": 1, ""1001"": 3, ""1011"": 1}","{""0010"": 474, ""0000"": 467, ""1100"": 26, ""1110"": 33}"
1870,"{""0000"": 870, ""1110"": 8, ""1010"": 18, ""0100"": 32, ""1101"": 1, ""0110"": 6, ""0010"": 28, ""0011"": 3, ""1000"": 8, ""0001"": 12, ""1001"": 1, ""1100"": 8, ""1011"": 2, ""1111"": 2, ""0101"": 1}","{""0000"": 1000}"
1062,"{""00100"": 36, ""00110"": 331, ""00010"": 474, ""00111"": 12, ""01010"": 14, ""10000"": 4, ""10010"": 7, ""00000"": 46, ""11011"": 5, ""00001"": 3, ""10011"": 8, ""10111"": 8, ""00011"": 11, ""01000"": 1, ""10100"": 6, ""01100"": 1, ""10101"": 2, ""11010"": 3, ""00101"": 5, ""10110"": 6, ""01101"": 1, ""01110"": 9, ""11110"": 2, ""01111"": 3, ""01011"": 2}","{""00110"": 481, ""00010"": 495, ""00000"": 10, ""00100"": 14}"
1108,"{""0010"": 774, ""0000"": 78, ""0111"": 8, ""0110"": 26, ""0100"": 11, ""0011"": 36, ""1110"": 8, ""1100"": 2, ""0001"": 15, ""1010"": 22, ""0101"": 3, ""1000"": 7, ""1011"": 4, ""1111"": 4, ""1001"": 1, ""1101"": 1}","{""0010"": 952, ""0000"": 48}"
2077,"{""010"": 465, ""110"": 445, ""011"": 25, ""111"": 14, ""000"": 22, ""100"": 15, ""001"": 11, ""101"": 3}","{""110"": 500, ""010"": 500}"
2834,"{""11"": 459, ""01"": 269, ""10"": 173, ""00"": 99}","{""01"": 295, ""11"": 455, ""00"": 80, ""10"": 170}"
1028,"{""000"": 889, ""100"": 57, ""011"": 8, ""010"": 28, ""110"": 4, ""101"": 1, ""001"": 7, ""111"": 6}","{""000"": 1000}"
3707,"{""00"": 579, ""01"": 283, ""10"": 115, ""11"": 23}","{""01"": 249, ""00"": 605, ""10"": 129, ""11"": 17}"
1941,"{""00000"": 68, ""11100"": 174, ""10100"": 219, ""01000"": 50, ""00100"": 171, ""01110"": 3, ""01100"": 123, ""10110"": 8, ""10000"": 78, ""11000"": 68, ""11110"": 6, ""11010"": 3, ""01001"": 4, ""00110"": 2, ""11001"": 1, ""11011"": 1, ""00010"": 4, ""00101"": 1, ""11101"": 1, ""10111"": 4, ""00001"": 1, ""01101"": 2, ""10101"": 3, ""01010"": 1, ""00111"": 2, ""10001"": 1, ""10010"": 1}","{""00100"": 136, ""11100"": 249, ""10100"": 210, ""11000"": 85, ""10000"": 61, ""01100"": 164, ""00000"": 40, ""01000"": 55}"
917,"{""11"": 632, ""10"": 345, ""00"": 6, ""01"": 17}","{""10"": 321, ""11"": 666, ""00"": 7, ""01"": 6}"
2192,"{""001"": 521, ""000"": 422, ""010"": 13, ""100"": 14, ""110"": 11, ""111"": 6, ""101"": 6, ""011"": 7}","{""000"": 510, ""001"": 490}"
253,"{""0101"": 199, ""0000"": 57, ""1101"": 162, ""0001"": 60, ""0100"": 184, ""1111"": 11, ""1100"": 199, ""1001"": 55, ""1000"": 52, ""1010"": 3, ""1011"": 4, ""1110"": 5, ""0110"": 4, ""0111"": 2, ""0010"": 2, ""0011"": 1}","{""1100"": 207, ""0100"": 184, ""1101"": 177, ""0101"": 193, ""1001"": 66, ""0001"": 56, ""1000"": 62, ""0000"": 55}"
