depth,qubits,qasm_definition
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate csdg q0,q1 { p(-pi/4) q0; cx q0,q1; p(pi/4) q1; cx q0,q1; p(-pi/4) q1; } gate r(param0,param1) q0 { u3(param0,param1 - pi/2,pi/2 - param1) q0; } qreg q[2]; creg c[2]; csdg q[1],q[0]; r(6.119652103916386,1.856031239849363) q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate xx_plus_yy(param0,param1) q0,q1 { rz(param1) q0; rz(-pi/2) q1; sx q1; rz(pi/2) q1; s q0; cx q1,q0; ry(-param0/2) q1; ry(-param0/2) q0; cx q1,q0; sdg q0; rz(-pi/2) q1; sxdg q1; rz(pi/2) q1; rz(-param1) q0; } qreg q[2]; creg c[2]; p(0.9248178545214156) q[1]; xx_plus_yy(1.0130193075943061,1.1747648375434836) q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[4]; creg c[4]; rx(2.5414086371179714) q[3]; ccz q[2],q[1],q[0]; cswap q[3],q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate ryy(param0) q0,q1 { rx(pi/2) q0; rx(pi/2) q1; cx q0,q1; rz(param0) q1; cx q0,q1; rx(-pi/2) q0; rx(-pi/2) q1; } qreg q[3]; creg c[3]; ryy(5.088178102817331) q[2],q[0]; s q[1]; rccx q[2],q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; crx(4.707674189576452) q[2],q[1]; sdg q[0]; cx q[2],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate xx_plus_yy(param0,param1) q0,q1 { rz(param1) q0; rz(-pi/2) q1; sx q1; rz(pi/2) q1; s q0; cx q1,q0; ry(-param0/2) q1; ry(-param0/2) q0; cx q1,q0; sdg q0; rz(-pi/2) q1; sxdg q1; rz(pi/2) q1; rz(-param1) q0; } qreg q[3]; creg c[3]; ccx q[0],q[1],q[2]; rx(5.754071074493003) q[1]; xx_plus_yy(2.708461989188253,4.439404582224887) q[2],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate ryy(param0) q0,q1 { rx(pi/2) q0; rx(pi/2) q1; cx q0,q1; rz(param0) q1; cx q0,q1; rx(-pi/2) q0; rx(-pi/2) q1; } qreg q[2]; creg c[2]; cu3(3.664664112157392,1.7779495024562775,0.15538764626470006) q[1],q[0]; ryy(4.879509700865681) q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } qreg q[2]; creg c[2]; rzz(2.2180503154235636) q[1],q[0]; rzx(3.8274540322048534) q[0],q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } qreg q[5]; creg c[5]; rcccx q[1],q[3],q[0],q[4]; tdg q[2]; c3sqrtx q[1],q[2],q[0],q[4]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; crx(0.8194590639703068) q[0],q[1]; csx q[1],q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; sdg q[0]; u1(0.024001676220856517) q[1]; t q[1]; u2(1.5416139647411158,4.501636127851177) q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; u2(2.708943442520605,4.626904374034649) q[1]; tdg q[0]; y q[1]; u(0.18781750541218278,4.723416544063836,1.3638338693435965) q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; sdg q[1]; u(1.9969053446935803,1.8264957278699925,1.085201651097683) q[0]; crz(4.118025413921719) q[2],q[0]; u(3.3560334127389946,3.0128431652101098,3.8407027662911015) q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; cswap q[2],q[0],q[1]; ccx q[1],q[0],q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; sxdg q[1]; u1(2.9244791178423677) q[0]; u1(2.991579920708221) q[1]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate rzx(param0) q0,q1 { h q1; cx q0,q1; rz(param0) q1; cx q0,q1; h q1; } gate ecr q0,q1 { rzx(pi/4) q0,q1; x q0; rzx(-pi/4) q0,q1; } qreg q[3]; creg c[3]; rccx q[2],q[0],q[1]; ecr q[2],q[1]; h q[0]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[5]; creg c[5]; x q[1]; rcccx q[3],q[4],q[0],q[2]; ccz q[3],q[1],q[2]; p(0.6881344881900545) q[0]; h q[4]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[3]; creg c[3]; t q[0]; p(3.157983058559771) q[2]; cy q[1],q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
2,5,"OPENQASM 2.0; include ""qelib1.inc""; gate rcccx q0,q1,q2,q3 { u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; cx q0,q3; u1(pi/4) q3; cx q1,q3; u1(-pi/4) q3; u2(0,pi) q3; u1(pi/4) q3; cx q2,q3; u1(-pi/4) q3; u2(0,pi) q3; } gate ccz q0,q1,q2 { h q2; ccx q0,q1,q2; h q2; } qreg q[5]; creg c[5]; rcccx q[4],q[1],q[2],q[0]; tdg q[3]; ccz q[4],q[3],q[1]; cu(3.9478327407354423,4.012436083022474,3.3973407047575765,4.029032093222751) q[0],q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3]; measure q[4] -> c[4];"
2,4,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[4]; creg c[4]; crz(4.334057916528327) q[2],q[1]; u1(5.522840142183452) q[0]; rccx q[1],q[0],q[2]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2]; measure q[3] -> c[3];"
2,2,"OPENQASM 2.0; include ""qelib1.inc""; qreg q[2]; creg c[2]; u(1.6083304902831645,0.3806763861944611,4.544379393395564) q[1]; y q[0]; sdg q[1]; t q[0]; measure q[0] -> c[0]; measure q[1] -> c[1];"
2,3,"OPENQASM 2.0; include ""qelib1.inc""; gate ryy(param0) q0,q1 { rx(pi/2) q0; rx(pi/2) q1; cx q0,q1; rz(param0) q1; cx q0,q1; rx(-pi/2) q0; rx(-pi/2) q1; } qreg q[3]; creg c[3]; swap q[2],q[1]; u3(5.008360679252851,2.657616564522755,2.6052224001043602) q[0]; ryy(4.252703337934751) q[0],q[2]; rx(0.456150840441338) q[1]; measure q[0] -> c[0]; measure q[1] -> c[1]; measure q[2] -> c[2];"
