circuit_index,noisy_counts,ideal_counts
3898,"{""00"": 416, ""10"": 420, ""11"": 74, ""01"": 90}","{""11"": 93, ""10"": 421, ""00"": 409, ""01"": 77}"
442,"{""100"": 413, ""000"": 555, ""110"": 12, ""001"": 2, ""010"": 13, ""101"": 3, ""011"": 1, ""111"": 1}","{""100"": 471, ""000"": 529}"
1123,"{""000"": 908, ""010"": 33, ""101"": 8, ""001"": 20, ""100"": 16, ""011"": 12, ""111"": 3}","{""000"": 1000}"
1967,"{""01"": 143, ""10"": 526, ""00"": 132, ""11"": 199}","{""00"": 154, ""10"": 543, ""11"": 161, ""01"": 142}"
522,"{""000"": 915, ""001"": 18, ""111"": 4, ""010"": 19, ""100"": 24, ""101"": 7, ""011"": 10, ""110"": 3}","{""000"": 1000}"
3611,"{""110"": 407, ""010"": 424, ""011"": 66, ""111"": 21, ""100"": 42, ""000"": 28, ""001"": 5, ""101"": 7}","{""110"": 426, ""010"": 404, ""100"": 54, ""011"": 60, ""000"": 36, ""111"": 20}"
342,"{""01111"": 145, ""00100"": 94, ""00111"": 87, ""01110"": 150, ""00110"": 84, ""00101"": 78, ""01101"": 139, ""01100"": 100, ""10110"": 15, ""11101"": 9, ""11111"": 18, ""10101"": 6, ""10100"": 9, ""00011"": 2, ""11000"": 1, ""11100"": 14, ""11110"": 17, ""10111"": 9, ""00001"": 3, ""01001"": 5, ""01010"": 4, ""10011"": 1, ""00010"": 4, ""11011"": 1, ""01011"": 1, ""00000"": 1, ""10010"": 1, ""11001"": 2}","{""00111"": 60, ""10110"": 8, ""11111"": 10, ""00110"": 72, ""01111"": 153, ""01101"": 154, ""01110"": 166, ""01100"": 148, ""11101"": 14, ""00100"": 78, ""11011"": 1, ""10100"": 4, ""11100"": 16, ""00101"": 74, ""01010"": 3, ""10101"": 7, ""10111"": 5, ""10000"": 2, ""11110"": 6, ""00000"": 2, ""01000"": 5, ""01001"": 1, ""01011"": 3, ""00001"": 4, ""00010"": 1, ""11001"": 1, ""10001"": 1, ""00011"": 1}"
563,"{""010"": 229, ""000"": 246, ""110"": 234, ""001"": 251, ""011"": 10, ""111"": 10, ""100"": 9, ""101"": 11}","{""010"": 240, ""000"": 269, ""110"": 252, ""001"": 239}"
1576,"{""11010"": 142, ""10000"": 38, ""00010"": 164, ""01001"": 9, ""10010"": 149, ""00000"": 51, ""01010"": 176, ""01011"": 17, ""00111"": 7, ""11000"": 29, ""01100"": 5, ""00100"": 7, ""01000"": 53, ""00110"": 26, ""11001"": 10, ""01101"": 9, ""10001"": 10, ""00001"": 6, ""10110"": 19, ""11100"": 7, ""11110"": 10, ""01110"": 7, ""10100"": 8, ""10011"": 10, ""01111"": 3, ""10111"": 5, ""00011"": 11, ""11011"": 3, ""00101"": 3, ""11101"": 5, ""11111"": 1}","{""00000"": 55, ""01000"": 65, ""11010"": 207, ""11000"": 58, ""10000"": 65, ""01010"": 156, ""10010"": 192, ""00010"": 202}"
511,"{""1000"": 880, ""1011"": 7, ""1001"": 23, ""1010"": 33, ""1101"": 6, ""0010"": 3, ""1111"": 5, ""0000"": 13, ""1100"": 14, ""0111"": 2, ""1110"": 7, ""0110"": 2, ""0101"": 1, ""0011"": 1, ""0100"": 2, ""0001"": 1}","{""1000"": 1000}"
