circuit_index,noisy_counts,ideal_counts
2208,"{""00011"": 69, ""00111"": 6, ""11111"": 96, ""11011"": 15, ""10110"": 11, ""11110"": 85, ""10011"": 115, ""10010"": 140, ""01111"": 114, ""00000"": 36, ""00010"": 81, ""01101"": 26, ""00001"": 33, ""01110"": 76, ""00100"": 5, ""11001"": 2, ""01001"": 5, ""01100"": 27, ""01010"": 8, ""10111"": 6, ""11101"": 2, ""01011"": 11, ""10000"": 7, ""11010"": 4, ""10101"": 5, ""00101"": 2, ""10001"": 3, ""00110"": 3, ""11100"": 2, ""10100"": 3, ""01000"": 2}","{""11111"": 87, ""10011"": 124, ""00010"": 137, ""10010"": 131, ""01110"": 106, ""00000"": 21, ""11110"": 89, ""00001"": 23, ""01111"": 88, ""00011"": 170, ""01101"": 12, ""01100"": 12}"
3079,"{""100"": 661, ""000"": 187, ""111"": 11, ""001"": 12, ""010"": 15, ""110"": 87, ""101"": 20, ""011"": 7}","{""100"": 705, ""000"": 184, ""110"": 91, ""010"": 17, ""001"": 1, ""101"": 2}"
1855,"{""10"": 288, ""00"": 338, ""01"": 202, ""11"": 172}","{""11"": 164, ""00"": 343, ""10"": 301, ""01"": 192}"
808,"{""0001"": 895, ""1001"": 24, ""0111"": 5, ""0000"": 28, ""0110"": 2, ""0010"": 9, ""0101"": 10, ""0011"": 20, ""1011"": 2, ""1111"": 2, ""1101"": 3}","{""0001"": 997, ""0000"": 3}"
664,"{""10"": 209, ""01"": 43, ""00"": 724, ""11"": 24}","{""00"": 724, ""10"": 201, ""01"": 63, ""11"": 12}"
2291,"{""00000"": 22, ""00011"": 220, ""11001"": 4, ""00111"": 189, ""01111"": 151, ""01011"": 203, ""01000"": 22, ""00100"": 26, ""01101"": 7, ""01010"": 9, ""11000"": 6, ""01110"": 7, ""11110"": 7, ""10010"": 12, ""01100"": 18, ""11011"": 10, ""11111"": 13, ""01001"": 2, ""11010"": 6, ""10011"": 5, ""00010"": 15, ""10111"": 7, ""10000"": 4, ""10101"": 3, ""00001"": 5, ""10110"": 1, ""00101"": 6, ""11100"": 2, ""11101"": 4, ""00110"": 11, ""10100"": 1, ""10001"": 2}","{""00111"": 264, ""01011"": 239, ""01111"": 269, ""00011"": 228}"
1566,"{""01"": 331, ""11"": 359, ""00"": 301, ""10"": 9}","{""01"": 324, ""00"": 323, ""11"": 353}"
2954,"{""00"": 751, ""01"": 231, ""10"": 11, ""11"": 7}","{""01"": 241, ""00"": 757, ""10"": 1, ""11"": 1}"
3275,"{""11"": 207, ""01"": 260, ""00"": 470, ""10"": 63}","{""11"": 224, ""01"": 233, ""10"": 56, ""00"": 487}"
2072,"{""0011"": 269, ""0001"": 345, ""0111"": 129, ""0101"": 151, ""1010"": 2, ""0010"": 25, ""0000"": 20, ""0100"": 18, ""0110"": 10, ""1000"": 7, ""1101"": 6, ""1111"": 7, ""1011"": 3, ""1100"": 3, ""1001"": 4, ""1110"": 1}","{""0101"": 173, ""0011"": 303, ""0001"": 345, ""0111"": 158, ""0000"": 6, ""0110"": 3, ""0100"": 5, ""0010"": 7}"
2619,"{""00"": 518, ""10"": 389, ""11"": 39, ""01"": 54}","{""10"": 437, ""00"": 452, ""01"": 62, ""11"": 49}"
1144,"{""0000"": 901, ""0011"": 15, ""0110"": 7, ""1000"": 16, ""0111"": 6, ""0100"": 10, ""0001"": 15, ""0010"": 24, ""1110"": 2, ""0101"": 3, ""1101"": 1}","{""0000"": 1000}"
1572,"{""0010"": 422, ""0000"": 503, ""0001"": 7, ""0100"": 16, ""0011"": 7, ""1000"": 19, ""1001"": 6, ""1111"": 2, ""1010"": 4, ""0110"": 6, ""0101"": 3, ""0111"": 3, ""1011"": 2}","{""0010"": 474, ""0000"": 526}"
2456,"{""010"": 518, ""011"": 424, ""111"": 16, ""110"": 17, ""000"": 10, ""100"": 8, ""001"": 6, ""101"": 1}","{""011"": 489, ""010"": 511}"
3072,"{""00000"": 228, ""00010"": 208, ""00001"": 157, ""00111"": 5, ""00011"": 239, ""01010"": 9, ""01100"": 15, ""01000"": 10, ""01011"": 2, ""11101"": 2, ""01110"": 11, ""10011"": 3, ""00100"": 9, ""10001"": 14, ""11000"": 8, ""11010"": 15, ""11110"": 5, ""10000"": 13, ""00110"": 7, ""01001"": 6, ""01101"": 6, ""00101"": 11, ""11100"": 5, ""10010"": 7, ""10101"": 1, ""01111"": 2, ""11111"": 1, ""11011"": 1}","{""00000"": 274, ""00001"": 225, ""00010"": 239, ""00011"": 262}"
580,"{""0000"": 899, ""1101"": 5, ""0010"": 26, ""0001"": 21, ""1100"": 7, ""0100"": 19, ""0101"": 3, ""1001"": 3, ""1011"": 2, ""1000"": 7, ""1111"": 1, ""1010"": 3, ""0011"": 2, ""0110"": 1, ""1110"": 1}","{""0000"": 982, ""0010"": 18}"
