circuit_index,noisy_counts,ideal_counts
3019,"{""1000"": 350, ""0000"": 364, ""0111"": 4, ""0001"": 19, ""1001"": 18, ""1101"": 6, ""0100"": 87, ""1100"": 73, ""0010"": 26, ""1010"": 17, ""0110"": 8, ""0101"": 12, ""1110"": 8, ""1111"": 3, ""1011"": 3, ""0011"": 2}","{""1100"": 73, ""0100"": 61, ""1000"": 434, ""0000"": 420, ""1010"": 7, ""1110"": 1, ""0010"": 4}"
3020,"{""101"": 9, ""110"": 592, ""010"": 227, ""100"": 84, ""000"": 36, ""001"": 17, ""111"": 23, ""011"": 12}","{""110"": 679, ""010"": 233, ""111"": 2, ""100"": 69, ""000"": 17}"
3024,"{""01000"": 19, ""10001"": 26, ""00000"": 664, ""00010"": 55, ""10000"": 39, ""01001"": 11, ""10101"": 8, ""10100"": 21, ""11111"": 2, ""01100"": 12, ""10111"": 3, ""00110"": 12, ""00001"": 27, ""00100"": 36, ""00111"": 9, ""00011"": 11, ""11110"": 2, ""10110"": 6, ""01110"": 6, ""00101"": 4, ""01111"": 2, ""01010"": 7, ""01101"": 3, ""10011"": 3, ""11011"": 1, ""11100"": 2, ""11000"": 4, ""10010"": 4, ""01011"": 1}","{""10001"": 28, ""00000"": 965, ""00101"": 4, ""10101"": 3}"
3025,"{""000"": 225, ""010"": 241, ""011"": 240, ""001"": 260, ""110"": 11, ""111"": 8, ""101"": 10, ""100"": 5}","{""010"": 247, ""011"": 250, ""000"": 246, ""001"": 257}"
3032,"{""01010"": 15, ""01001"": 171, ""00001"": 155, ""01000"": 194, ""00000"": 131, ""01101"": 24, ""11110"": 4, ""00101"": 33, ""01111"": 10, ""11001"": 22, ""00100"": 25, ""01011"": 26, ""00010"": 11, ""10001"": 20, ""10110"": 4, ""10011"": 6, ""11000"": 18, ""00111"": 7, ""10000"": 13, ""01100"": 37, ""11010"": 4, ""11111"": 2, ""00011"": 16, ""11100"": 8, ""01110"": 5, ""10111"": 5, ""11101"": 5, ""10101"": 4, ""10010"": 6, ""11011"": 5, ""10100"": 11, ""00110"": 3}","{""00001"": 185, ""01001"": 334, ""01000"": 285, ""00000"": 196}"
3034,"{""11"": 491, ""01"": 473, ""10"": 17, ""00"": 19}","{""01"": 502, ""11"": 478, ""00"": 12, ""10"": 8}"
3035,"{""01"": 561, ""00"": 374, ""10"": 55, ""11"": 10}","{""01"": 599, ""00"": 349, ""10"": 46, ""11"": 6}"
3038,"{""0000"": 271, ""1000"": 505, ""0100"": 21, ""1011"": 6, ""0011"": 7, ""1100"": 38, ""1001"": 41, ""1010"": 33, ""0001"": 25, ""1110"": 6, ""1101"": 7, ""0010"": 25, ""0111"": 1, ""0101"": 6, ""0110"": 4, ""1111"": 4}","{""1000"": 635, ""0000"": 365}"
3040,"{""00100"": 42, ""10001"": 25, ""01000"": 51, ""00000"": 534, ""01100"": 11, ""01110"": 3, ""01111"": 3, ""00010"": 70, ""00101"": 7, ""00001"": 53, ""10100"": 14, ""10000"": 48, ""01010"": 14, ""10010"": 31, ""01001"": 13, ""00011"": 19, ""10111"": 3, ""10101"": 3, ""00110"": 18, ""11101"": 1, ""10110"": 6, ""11001"": 4, ""11110"": 3, ""11000"": 11, ""01011"": 2, ""11011"": 1, ""11111"": 3, ""11100"": 2, ""10011"": 2, ""11010"": 1, ""00111"": 1, ""01101"": 1}","{""00000"": 1000}"
3041,"{""00"": 103, ""01"": 406, ""11"": 478, ""10"": 13}","{""01"": 395, ""11"": 517, ""00"": 83, ""10"": 5}"
